filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,from_CSD,public,State,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,,,,,,,,,,,,,
ELOZIQ_freeONLY,8.90054,7.54325,8.90054,1.56317,1438.27,920.095,0,0,0.5794,0.370656,0,Cd,Yes,Cd,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EMEHUB_freeONLY,3.37285,3.14969,3.37285,1.71921,0,0,0.756485,0.440019,0.3864,0.224755,0,"Si,Cu",No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EMIREX_freeONLY,3.10355,2.73934,2.93717,1.80103,0,0,0,0,0.3206,0.17801,0,Ba,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EMUBOF_freeONLY,9.42077,3.90709,9.42077,1.26542,1404.46,1109.87,302.522,239.068,0.6416,0.507025,0,Cu,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EMUYAM01_freeONLY,4.15548,2.7929,4.05962,2.82255,0,0,29.2914,10.3776,0.2616,0.0926822,0,"Fe,Ag",Yes,Ag,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ENCDBZ01_freeONLY,4.96088,3.91158,4.96088,1.33226,1771.15,1329.44,0,0,0.6226,0.467327,0,Cd,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ENCDBZ_freeONLY,5.17995,4.0381,5.17546,1.35947,2064.83,1518.84,0,0,0.6576,0.483717,0,Cd,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ENCNBZ01_freeONLY,5.19153,4.38458,5.1913,1.43907,1901.77,1321.52,0,0,0.6098,0.423745,0,"Cd,Ni",Yes,Ni,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ENEQUL_freeONLY,7.56046,6.76685,7.56046,0.98299,1488.97,1514.73,0,0,0.5914,0.601634,0,Cu,Yes,Cu,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EPAXAW_freeONLY,4.6565,2.69943,4.64928,1.75762,0,0,353.714,201.246,0.3704,0.21074,0,"Co,Zn",No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EPECEJ_freeONLY,6.93285,4.84508,6.69204,1.00901,1628.41,1613.87,0,0,0.5874,0.582154,0,Zn,Yes,Zn,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EPECOT_freeONLY,6.40953,4.232,6.0252,1.36372,438.589,321.612,85.8889,62.9814,0.4456,0.326753,0,Zn,Yes,Zn,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EPECUZ_freeONLY,5.69161,2.75745,5.59827,1.32668,0,0,1040.05,783.946,0.5012,0.377784,0,Zn,Yes,Zn,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EPUSUE_freeONLY,8.46903,3.66579,7.7021,2.09876,1520.93,724.68,0,0,0.5964,0.284168,0,Ag,Yes,Ag,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EQOCOC01_freeONLY,9.01895,5.30438,9.01895,0.963226,2097.19,2177.26,0,0,0.6844,0.710529,0,Zn,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ERAMUH_freeONLY,13.59185,12.87226,13.59185,0.930265,2103.48,2261.16,0,0,0.734,0.789022,0.000214992,Zr,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ERANAO_freeONLY,3.91189,3.56594,3.91189,6.44423,339.17,52.6316,0,0,0.3488,0.054126,0,Zr,Yes,Zr,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ERANOC_freeONLY,12.12942,7.15385,8.34001,0.85109,2375.45,2791.07,0,0,0.7092,0.833284,0.000234993,Zr,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ERAQAR_freeONLY,7.38576,7.26835,7.38576,1.40447,1641.95,1169.09,0,0,0.6066,0.431907,0,In,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ERUNUC_freeONLY,14.74144,10.998,14.73673,0.62953,1658.85,2635.07,0,0,0.7456,1.18438,0,Co,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ESARIB_freeONLY,4.9043,3.62901,4.9043,1.8746,341.914,182.392,0,0,0.3502,0.186813,0,Zn,Yes,Zn,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ESOROV_freeONLY,3.76222,2.94815,3.76003,1.87675,0,0,63.0338,33.5867,0.3872,0.206314,0,Cd,Yes,Cd,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ETIPII_freeONLY,4.4114,3.63269,4.34894,1.3361,794.526,594.661,72.734,54.4377,0.5232,0.391588,0,Zn,Yes,Zn,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ETIXAI_freeONLY,5.65647,4.17101,5.65647,1.21689,891.966,732.986,0,0,0.4942,0.406116,0,Zn,Yes,Zn,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ETIXOW_freeONLY,5.96193,5.13468,5.95693,1.58012,1192.64,754.781,0,0,0.4984,0.31542,0,Zn,Yes,Zn,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
ETIYEN_freeONLY,4.24115,3.536,4.24115,1.65593,454.02,274.179,0,0,0.3836,0.231653,0,Mn,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EVEGER_freeONLY,7.46813,3.24345,7.46813,1.59299,0,0,611.872,384.103,0.4696,0.294791,0,"Mn,Yb",No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
